username,Past Action,Time,Review,lowercase,no_urls,no_html,no_emojis,slang_replaced,contractions_replaced,no_punctuation,no_numbers,spelling_corrected,no_stopwords,lemmatized,tokenized,processed_review
Gayathiri Sivakumar,3 reviews · 5 photos,2 months ago,"I recently visited Suka Desert and tried a variety of their offerings. The pancake was exceptionally fluffy and enjoyable, while the vanilla 3-phase ice cream was delightful overall, though the melted chocolate phase was overly sweet for my …","i recently visited suka desert and tried a variety of their offerings. the pancake was exceptionally fluffy and enjoyable, while the vanilla 3-phase ice cream was delightful overall, though the melted chocolate phase was overly sweet for my …","i recently visited suka desert and tried a variety of their offerings. the pancake was exceptionally fluffy and enjoyable, while the vanilla 3-phase ice cream was delightful overall, though the melted chocolate phase was overly sweet for my …","i recently visited suka desert and tried a variety of their offerings. the pancake was exceptionally fluffy and enjoyable, while the vanilla 3-phase ice cream was delightful overall, though the melted chocolate phase was overly sweet for my …","i recently visited suka desert and tried a variety of their offerings. the pancake was exceptionally fluffy and enjoyable, while the vanilla 3-phase ice cream was delightful overall, though the melted chocolate phase was overly sweet for my …","i recently visited suka desert and tried a variety of their offerings. the pancake was exceptionally fluffy and enjoyable, while the vanilla 3-phase ice cream was delightful overall, though the melted chocolate phase was overly sweet for my …","i recently visited suka desert and tried a variety of their offerings. the pancake was exceptionally fluffy and enjoyable, while the vanilla 3-phase ice cream was delightful overall, though the melted chocolate phase was overly sweet for my …",i recently visited suka desert and tried a variety of their offerings the pancake was exceptionally fluffy and enjoyable while the vanilla 3phase ice cream was delightful overall though the melted chocolate phase was overly sweet for my …,i recently visited suka desert and tried a variety of their offerings the pancake was exceptionally fluffy and enjoyable while the vanilla phase ice cream was delightful overall though the melted chocolate phase was overly sweet for my …,i recently visited ska desert and tried a variety of their offerings the pancake was exceptionally fluffy and enjoyable while the vanilla phase ice cream was delightful overall though the melted chocolate phase was overly sweet for my …,recently visited ska desert tried variety offerings pancake exceptionally fluffy enjoyable vanilla phase ice cream delightful overall though melted chocolate phase overly sweet …,recently visit ska desert try variety offering pancake exceptionally fluffy enjoyable vanilla phase ice cream delightful overall though melted chocolate phase overly sweet …,"['recently', 'visit', 'ska', 'desert', 'try', 'variety', 'offering', 'pancake', 'exceptionally', 'fluffy', 'enjoyable', 'vanilla', 'phase', 'ice', 'cream', 'delightful', 'overall', 'though', 'melted', 'chocolate', 'phase', 'overly', 'sweet', '…']","['recently', 'visit', 'ska', 'desert', 'try', 'variety', 'offering', 'pancake', 'exceptionally', 'fluffy', 'enjoyable', 'vanilla', 'phase', 'ice', 'cream', 'delightful', 'overall', 'though', 'melted', 'chocolate', 'phase', 'overly', 'sweet', '…']"
Azam Kamal,"Local Guide · 205 reviews · 1,571 photos",2 months ago,"My review is simple because I love chocolate. Of course, it’s sweet—after all, that’s what chocolate is! …","my review is simple because i love chocolate. of course, it’s sweet—after all, that’s what chocolate is! …","my review is simple because i love chocolate. of course, it’s sweet—after all, that’s what chocolate is! …","my review is simple because i love chocolate. of course, it’s sweet—after all, that’s what chocolate is! …","my review is simple because i love chocolate. of course, it’s sweet—after all, that’s what chocolate is! …","my review is simple because i love chocolate. of course, it’s sweet—after all, that’s what chocolate is! …","my review is simple because i love chocolate. of course, it’s sweet—after all, that’s what chocolate is! …",my review is simple because i love chocolate of course it’s sweet—after all that’s what chocolate is …,my review is simple because i love chocolate of course it’s sweet—after all that’s what chocolate is …,my review is simple because i love chocolate of course it’s sweet—after all that’s what chocolate is …,review simple love chocolate course it’s sweet—after that’s chocolate …,review simple love chocolate course it ’ s sweet—after that ’ s chocolate …,"['review', 'simple', 'love', 'chocolate', 'course', 'it', '’', 's', 'sweet—after', 'that', '’', 's', 'chocolate', '…']","['review', 'simple', 'love', 'chocolate', 'course', 'it', '’', 's', 'sweet—after', 'that', '’', 's', 'chocolate', '…']"
Malihah Yusof,Local Guide · 30 reviews · 71 photos,3 months ago,Not sure why people are so hype about this. They sure have various dessert but the cakes taste just like the ones you'd get at regular bakery. They are pricey as claimed to be using premium ingredients. But i probably would not come back to …,not sure why people are so hype about this. they sure have various dessert but the cakes taste just like the ones you'd get at regular bakery. they are pricey as claimed to be using premium ingredients. but i probably would not come back to …,not sure why people are so hype about this. they sure have various dessert but the cakes taste just like the ones you'd get at regular bakery. they are pricey as claimed to be using premium ingredients. but i probably would not come back to …,not sure why people are so hype about this. they sure have various dessert but the cakes taste just like the ones you'd get at regular bakery. they are pricey as claimed to be using premium ingredients. but i probably would not come back to …,not sure why people are so hype about this. they sure have various dessert but the cakes taste just like the ones you'd get at regular bakery. they are pricey as claimed to be using premium ingredients. but i probably would not come back to …,not sure why people are so hype about this. they sure have various dessert but the cakes taste just like the ones you'd get at regular bakery. they are pricey as claimed to be using premium ingredients. but i probably would not come back to …,not sure why people are so hype about this. they sure have various dessert but the cakes taste just like the ones you would get at regular bakery. they are pricey as claimed to be using premium ingredients. but i probably would not come back to …,not sure why people are so hype about this they sure have various dessert but the cakes taste just like the ones you would get at regular bakery they are pricey as claimed to be using premium ingredients but i probably would not come back to …,not sure why people are so hype about this they sure have various dessert but the cakes taste just like the ones you would get at regular bakery they are pricey as claimed to be using premium ingredients but i probably would not come back to …,not sure why people are so hype about this they sure have various dessert but the cakes taste just like the ones you would get at regular bakery they are price as claimed to be using premium ingredients but i probably would not come back to …,sure people hype sure various dessert cakes taste like ones would get regular bakery price claimed using premium ingredients probably would come back …,sure people hype sure various dessert cake taste like one would get regular bakery price claim use premium ingredient probably would come back …,"['sure', 'people', 'hype', 'sure', 'various', 'dessert', 'cake', 'taste', 'like', 'one', 'would', 'get', 'regular', 'bakery', 'price', 'claim', 'use', 'premium', 'ingredient', 'probably', 'would', 'come', 'back', '…']","['sure', 'people', 'hype', 'sure', 'various', 'dessert', 'cake', 'taste', 'like', 'one', 'would', 'get', 'regular', 'bakery', 'price', 'claim', 'use', 'premium', 'ingredient', 'probably', 'would', 'come', 'back', '…']"
Nurul Azida (Zida),Local Guide · 16 reviews · 58 photos,4 months ago,Love it! Cake in bowl definitely so delicious not so sweet just nice to eat. Croissant much better if the texture more crispy it would be great. The cafe surrounding look really nice and suitable to dine in.,love it! cake in bowl definitely so delicious not so sweet just nice to eat. croissant much better if the texture more crispy it would be great. the cafe surrounding look really nice and suitable to dine in.,love it! cake in bowl definitely so delicious not so sweet just nice to eat. croissant much better if the texture more crispy it would be great. the cafe surrounding look really nice and suitable to dine in.,love it! cake in bowl definitely so delicious not so sweet just nice to eat. croissant much better if the texture more crispy it would be great. the cafe surrounding look really nice and suitable to dine in.,love it! cake in bowl definitely so delicious not so sweet just nice to eat. croissant much better if the texture more crispy it would be great. the cafe surrounding look really nice and suitable to dine in.,love it! cake in bowl definitely so delicious not so sweet just nice to eat. croissant much better if the texture more crispy it would be great. the cafe surrounding look really nice and suitable to dine in.,love it! cake in bowl definitely so delicious not so sweet just nice to eat. croissant much better if the texture more crispy it would be great. the cafe surrounding look really nice and suitable to dine in.,love it cake in bowl definitely so delicious not so sweet just nice to eat croissant much better if the texture more crispy it would be great the cafe surrounding look really nice and suitable to dine in,love it cake in bowl definitely so delicious not so sweet just nice to eat croissant much better if the texture more crispy it would be great the cafe surrounding look really nice and suitable to dine in,love it cake in bowl definitely so delicious not so sweet just nice to eat croissant much better if the texture more crisp it would be great the cafe surrounding look really nice and suitable to dine in,love cake bowl definitely delicious sweet nice eat croissant much better texture crisp would great cafe surrounding look really nice suitable dine,love cake bowl definitely delicious sweet nice eat croissant much good texture crisp would great cafe surround look really nice suitable dine,"['love', 'cake', 'bowl', 'definitely', 'delicious', 'sweet', 'nice', 'eat', 'croissant', 'much', 'good', 'texture', 'crisp', 'would', 'great', 'cafe', 'surround', 'look', 'really', 'nice', 'suitable', 'dine']","['love', 'cake', 'bowl', 'definitely', 'delicious', 'sweet', 'nice', 'eat', 'croissant', 'much', 'good', 'texture', 'crisp', 'would', 'great', 'cafe', 'surround', 'look', 'really', 'nice', 'suitable', 'dine']"
Najihah Pazaer,Local Guide · 5 reviews · 19 photos,2 months ago,"The queue always long, tapi laju! So u dont have to worry standing for so long outside. Less people dine in as most want to tapau desserts. so u can get in quicker. Strawberry so fresh and juicy. Please get that. Bought brownies nutella as well for birthday. Lovin it❤️","the queue always long, tapi laju! so u dont have to worry standing for so long outside. less people dine in as most want to tapau desserts. so u can get in quicker. strawberry so fresh and juicy. please get that. bought brownies nutella as well for birthday. lovin it❤️","the queue always long, tapi laju! so u dont have to worry standing for so long outside. less people dine in as most want to tapau desserts. so u can get in quicker. strawberry so fresh and juicy. please get that. bought brownies nutella as well for birthday. lovin it❤️","the queue always long, tapi laju! so u dont have to worry standing for so long outside. less people dine in as most want to tapau desserts. so u can get in quicker. strawberry so fresh and juicy. please get that. bought brownies nutella as well for birthday. lovin it❤️","the queue always long, tapi laju! so u dont have to worry standing for so long outside. less people dine in as most want to tapau desserts. so u can get in quicker. strawberry so fresh and juicy. please get that. bought brownies nutella as well for birthday. lovin it","the queue always long, tapi laju! so you dont have to worry standing for so long outside. less people dine in as most want to tapau desserts. so you can get in quicker. strawberry so fresh and juicy. please get that. bought brownies nutella as well for birthday. lovin it","the queue always long, tapi laju! so you dont have to worry standing for so long outside. less people dine in as most want to tapau desserts. so you can get in quicker. strawberry so fresh and juicy. please get that. bought brownies nutella as well for birthday. lovin it",the queue always long tapi laju so you dont have to worry standing for so long outside less people dine in as most want to tapau desserts so you can get in quicker strawberry so fresh and juicy please get that bought brownies nutella as well for birthday lovin it,the queue always long tapi laju so you dont have to worry standing for so long outside less people dine in as most want to tapau desserts so you can get in quicker strawberry so fresh and juicy please get that bought brownies nutella as well for birthday lovin it,the queue always long tape lau so you dont have to worry standing for so long outside less people dine in as most want to japan desserts so you can get in quicker strawberry so fresh and juicy please get that bought brownish novella as well for birthday login it,queue always long tape lau dont worry standing long outside less people dine want japan desserts get quicker strawberry fresh juicy please get bought brownish novella well birthday login,queue always long tape lau dont worry stand long outside less people dine want japan dessert get quick strawberry fresh juicy please get bought brownish novella well birthday login,"['queue', 'always', 'long', 'tape', 'lau', 'dont', 'worry', 'stand', 'long', 'outside', 'less', 'people', 'dine', 'want', 'japan', 'dessert', 'get', 'quick', 'strawberry', 'fresh', 'juicy', 'please', 'get', 'bought', 'brownish', 'novella', 'well', 'birthday', 'login']","['queue', 'always', 'long', 'tape', 'lau', 'dont', 'worry', 'stand', 'long', 'outside', 'less', 'people', 'dine', 'want', 'japan', 'dessert', 'get', 'quick', 'strawberry', 'fresh', 'juicy', 'please', 'get', 'bought', 'brownish', 'novella', 'well', 'birthday', 'login']"
Mar M,"Local Guide · 305 reviews · 1,327 photos",6 months ago,"29/09/2024

Overall experience is 3/5 …","29/09/2024

overall experience is 3/5 …","29/09/2024

overall experience is 3/5 …","29/09/2024

overall experience is 3/5 …","29/09/2024

overall experience is 3/5 …","29/09/2024

overall experience is 3/5 …","29/09/2024

overall experience is 3/5 …","29092024

overall experience is 35 …","

overall experience is  …","

overall experience is  …",overall experience …,overall experience …,"['overall', 'experience', '…']","['overall', 'experience', '…']"
Ajiq Ziq,Local Guide · 46 reviews · 119 photos,5 months ago,"I might be a little bit high expectations to come here🥲.

But the dessert was still satisfying. The most I liked is the dark cookies in …","i might be a little bit high expectations to come here🥲.

but the dessert was still satisfying. the most i liked is the dark cookies in …","i might be a little bit high expectations to come here🥲.

but the dessert was still satisfying. the most i liked is the dark cookies in …","i might be a little bit high expectations to come here🥲.

but the dessert was still satisfying. the most i liked is the dark cookies in …","i might be a little bit high expectations to come here.

but the dessert was still satisfying. the most i liked is the dark cookies in …","i might be a little bit high expectations to come here.

but the dessert was still satisfying. the most i liked is the dark cookies in …","i might be a little bit high expectations to come here.

but the dessert was still satisfying. the most i liked is the dark cookies in …","i might be a little bit high expectations to come here

but the dessert was still satisfying the most i liked is the dark cookies in …","i might be a little bit high expectations to come here

but the dessert was still satisfying the most i liked is the dark cookies in …","i might be a little bit high expectations to come here

but the dessert was still satisfying the most i liked is the dark cookies in …",might little bit high expectations come dessert still satisfying liked dark cookies …,might little bit high expectation come dessert still satisfy like dark cooky …,"['might', 'little', 'bit', 'high', 'expectation', 'come', 'dessert', 'still', 'satisfy', 'like', 'dark', 'cooky', '…']","['might', 'little', 'bit', 'high', 'expectation', 'come', 'dessert', 'still', 'satisfy', 'like', 'dark', 'cooky', '…']"
Mohd Aminuddin Sukor,"Local Guide · 138 reviews · 1,008 photos",3 months ago,"visiting on 3rd Jan 2025, the atmosphere kinda cool with korean playlist. offers various kind of desserts. some of it worth to buy, some quite pricy to some people. the taste for creamy pasta and aglio olio  doesnt meet expectation, indomie …","visiting on 3rd jan 2025, the atmosphere kinda cool with korean playlist. offers various kind of desserts. some of it worth to buy, some quite pricy to some people. the taste for creamy pasta and aglio olio  doesnt meet expectation, indomie …","visiting on 3rd jan 2025, the atmosphere kinda cool with korean playlist. offers various kind of desserts. some of it worth to buy, some quite pricy to some people. the taste for creamy pasta and aglio olio  doesnt meet expectation, indomie …","visiting on 3rd jan 2025, the atmosphere kinda cool with korean playlist. offers various kind of desserts. some of it worth to buy, some quite pricy to some people. the taste for creamy pasta and aglio olio  doesnt meet expectation, indomie …","visiting on 3rd jan 2025, the atmosphere kinda cool with korean playlist. offers various kind of desserts. some of it worth to buy, some quite pricy to some people. the taste for creamy pasta and aglio olio  doesnt meet expectation, indomie …","visiting on 3rd jan 2025, the atmosphere kinda cool with korean playlist. offers various kind of desserts. some of it worth to buy, some quite pricy to some people. the taste for creamy pasta and aglio olio  doesnt meet expectation, indomie …","visiting on 3rd jan 2025, the atmosphere kinda cool with korean playlist. offers various kind of desserts. some of it worth to buy, some quite pricy to some people. the taste for creamy pasta and aglio olio  doesnt meet expectation, indomie …",visiting on 3rd jan 2025 the atmosphere kinda cool with korean playlist offers various kind of desserts some of it worth to buy some quite pricy to some people the taste for creamy pasta and aglio olio  doesnt meet expectation indomie …,visiting on rd jan  the atmosphere kinda cool with korean playlist offers various kind of desserts some of it worth to buy some quite pricy to some people the taste for creamy pasta and aglio olio  doesnt meet expectation indomie …,visiting on rd jan  the atmosphere kinda cool with korean playlist offers various kind of desserts some of it worth to buy some quite price to some people the taste for creamy pasta and also lio  doesnt meet expectation income …,visiting rd jan atmosphere kinda cool korean playlist offers various kind desserts worth buy quite price people taste creamy pasta also lio doesnt meet expectation income …,visit rd jan atmosphere kinda cool korean playlist offer various kind dessert worth buy quite price people taste creamy pasta also lio doesnt meet expectation income …,"['visit', 'rd', 'jan', 'atmosphere', 'kinda', 'cool', 'korean', 'playlist', 'offer', 'various', 'kind', 'dessert', 'worth', 'buy', 'quite', 'price', 'people', 'taste', 'creamy', 'pasta', 'also', 'lio', 'doesnt', 'meet', 'expectation', 'income', '…']","['visit', 'rd', 'jan', 'atmosphere', 'kinda', 'cool', 'korean', 'playlist', 'offer', 'various', 'kind', 'dessert', 'worth', 'buy', 'quite', 'price', 'people', 'taste', 'creamy', 'pasta', 'also', 'lio', 'doesnt', 'meet', 'expectation', 'income', '…']"
Norzaliza Md Nor,5 reviews · 3 photos,5 months ago,I like the vibes and atmosphere. food are delicious though i am not a sweet tooth type but i really enjoy eating the strawberry choc. The burnt cheese cake with choc topping is so scrumptious. keep it up!,i like the vibes and atmosphere. food are delicious though i am not a sweet tooth type but i really enjoy eating the strawberry choc. the burnt cheese cake with choc topping is so scrumptious. keep it up!,i like the vibes and atmosphere. food are delicious though i am not a sweet tooth type but i really enjoy eating the strawberry choc. the burnt cheese cake with choc topping is so scrumptious. keep it up!,i like the vibes and atmosphere. food are delicious though i am not a sweet tooth type but i really enjoy eating the strawberry choc. the burnt cheese cake with choc topping is so scrumptious. keep it up!,i like the vibes and atmosphere. food are delicious though i am not a sweet tooth type but i really enjoy eating the strawberry choc. the burnt cheese cake with choc topping is so scrumptious. keep it up!,i like the vibes and atmosphere. food are delicious though i am not a sweet tooth type but i really enjoy eating the strawberry choc. the burnt cheese cake with choc topping is so scrumptious. keep it up!,i like the vibes and atmosphere. food are delicious though i am not a sweet tooth type but i really enjoy eating the strawberry choc. the burnt cheese cake with choc topping is so scrumptious. keep it up!,i like the vibes and atmosphere food are delicious though i am not a sweet tooth type but i really enjoy eating the strawberry choc the burnt cheese cake with choc topping is so scrumptious keep it up,i like the vibes and atmosphere food are delicious though i am not a sweet tooth type but i really enjoy eating the strawberry choc the burnt cheese cake with choc topping is so scrumptious keep it up,i like the vibes and atmosphere food are delicious though i am not a sweet tooth type but i really enjoy eating the strawberry hoc the burnt cheese cake with hoc topping is so scrumptious keep it up,like vibes atmosphere food delicious though sweet tooth type really enjoy eating strawberry hoc burnt cheese cake hoc topping scrumptious keep,like vibe atmosphere food delicious though sweet tooth type really enjoy eat strawberry hoc burnt cheese cake hoc top scrumptious keep,"['like', 'vibe', 'atmosphere', 'food', 'delicious', 'though', 'sweet', 'tooth', 'type', 'really', 'enjoy', 'eat', 'strawberry', 'hoc', 'burnt', 'cheese', 'cake', 'hoc', 'top', 'scrumptious', 'keep']","['like', 'vibe', 'atmosphere', 'food', 'delicious', 'though', 'sweet', 'tooth', 'type', 'really', 'enjoy', 'eat', 'strawberry', 'hoc', 'burnt', 'cheese', 'cake', 'hoc', 'top', 'scrumptious', 'keep']"
Muzakkir Ahmad Zamri,10 reviews · 11 photos,3 weeks ago,"Followed my wife here, didnt know that it was so viral at the moment. Got into a long queue but managed to spend rm100+ on the dessert. Still worth it, very recomended 👍🏻 …","followed my wife here, didnt know that it was so viral at the moment. got into a long queue but managed to spend rm100+ on the dessert. still worth it, very recomended 👍🏻 …","followed my wife here, didnt know that it was so viral at the moment. got into a long queue but managed to spend rm100+ on the dessert. still worth it, very recomended 👍🏻 …","followed my wife here, didnt know that it was so viral at the moment. got into a long queue but managed to spend rm100+ on the dessert. still worth it, very recomended 👍🏻 …","followed my wife here, didnt know that it was so viral at the moment. got into a long queue but managed to spend rm100+ on the dessert. still worth it, very recomended  …","followed my wife here, didnt know that it was so viral at the moment. got into a long queue but managed to spend rm100+ on the dessert. still worth it, very recomended  …","followed my wife here, didnt know that it was so viral at the moment. got into a long queue but managed to spend rm100+ on the dessert. still worth it, very recomended  …",followed my wife here didnt know that it was so viral at the moment got into a long queue but managed to spend rm100 on the dessert still worth it very recomended  …,followed my wife here didnt know that it was so viral at the moment got into a long queue but managed to spend rm on the dessert still worth it very recomended  …,followed my wife here didnt know that it was so viral at the moment got into a long queue but managed to spend rm on the dessert still worth it very recommended  …,followed wife didnt know viral moment got long queue managed spend rm dessert still worth recommended …,follow wife didnt know viral moment get long queue manage spend rm dessert still worth recommend …,"['follow', 'wife', 'didnt', 'know', 'viral', 'moment', 'get', 'long', 'queue', 'manage', 'spend', 'rm', 'dessert', 'still', 'worth', 'recommend', '…']","['follow', 'wife', 'didnt', 'know', 'viral', 'moment', 'get', 'long', 'queue', 'manage', 'spend', 'rm', 'dessert', 'still', 'worth', 'recommend', '…']"
soo kinwah,Local Guide · 23 reviews · 37 photos,6 months ago,"Place for chocolate and sweet lover. The food is sweet. If there is a sweet scale of 5, i will give it 4. Pistacheese in a cup is not bad, thanks to the cheese taste. The strawberry in cup also not bad. Thanks to the sweetness and slightly …","place for chocolate and sweet lover. the food is sweet. if there is a sweet scale of 5, i will give it 4. pistacheese in a cup is not bad, thanks to the cheese taste. the strawberry in cup also not bad. thanks to the sweetness and slightly …","place for chocolate and sweet lover. the food is sweet. if there is a sweet scale of 5, i will give it 4. pistacheese in a cup is not bad, thanks to the cheese taste. the strawberry in cup also not bad. thanks to the sweetness and slightly …","place for chocolate and sweet lover. the food is sweet. if there is a sweet scale of 5, i will give it 4. pistacheese in a cup is not bad, thanks to the cheese taste. the strawberry in cup also not bad. thanks to the sweetness and slightly …","place for chocolate and sweet lover. the food is sweet. if there is a sweet scale of 5, i will give it 4. pistacheese in a cup is not bad, thanks to the cheese taste. the strawberry in cup also not bad. thanks to the sweetness and slightly …","place for chocolate and sweet lover. the food is sweet. if there is a sweet scale of 5, i will give it 4. pistacheese in a cup is not bad, thanks to the cheese taste. the strawberry in cup also not bad. thanks to the sweetness and slightly …","place for chocolate and sweet lover. the food is sweet. if there is a sweet scale of 5, i will give it 4. pistacheese in a cup is not bad, thanks to the cheese taste. the strawberry in cup also not bad. thanks to the sweetness and slightly …",place for chocolate and sweet lover the food is sweet if there is a sweet scale of 5 i will give it 4 pistacheese in a cup is not bad thanks to the cheese taste the strawberry in cup also not bad thanks to the sweetness and slightly …,place for chocolate and sweet lover the food is sweet if there is a sweet scale of  i will give it  pistacheese in a cup is not bad thanks to the cheese taste the strawberry in cup also not bad thanks to the sweetness and slightly …,place for chocolate and sweet lover the food is sweet if there is a sweet scale of  i will give it  pistacheese in a cup is not bad thanks to the cheese taste the strawberry in cup also not bad thanks to the sweetness and slightly …,place chocolate sweet lover food sweet sweet scale give pistacheese cup bad thanks cheese taste strawberry cup also bad thanks sweetness slightly …,place chocolate sweet lover food sweet sweet scale give pistacheese cup bad thanks cheese taste strawberry cup also bad thanks sweetness slightly …,"['place', 'chocolate', 'sweet', 'lover', 'food', 'sweet', 'sweet', 'scale', 'give', 'pistacheese', 'cup', 'bad', 'thanks', 'cheese', 'taste', 'strawberry', 'cup', 'also', 'bad', 'thanks', 'sweetness', 'slightly', '…']","['place', 'chocolate', 'sweet', 'lover', 'food', 'sweet', 'sweet', 'scale', 'give', 'pistacheese', 'cup', 'bad', 'thanks', 'cheese', 'taste', 'strawberry', 'cup', 'also', 'bad', 'thanks', 'sweetness', 'slightly', '…']"
qila sulaiman,4 reviews · 3 photos,5 months ago,"Spent almost rm200 but the chocolate taste like a cheap chocolate. For the choc drinks that cost us rm22 really not worth it at all! I dont mind paying alot if the product is at par with what im paying. Unfortunately, its not. Choc taste …","spent almost rm200 but the chocolate taste like a cheap chocolate. for the choc drinks that cost us rm22 really not worth it at all! i dont mind paying alot if the product is at par with what im paying. unfortunately, its not. choc taste …","spent almost rm200 but the chocolate taste like a cheap chocolate. for the choc drinks that cost us rm22 really not worth it at all! i dont mind paying alot if the product is at par with what im paying. unfortunately, its not. choc taste …","spent almost rm200 but the chocolate taste like a cheap chocolate. for the choc drinks that cost us rm22 really not worth it at all! i dont mind paying alot if the product is at par with what im paying. unfortunately, its not. choc taste …","spent almost rm200 but the chocolate taste like a cheap chocolate. for the choc drinks that cost us rm22 really not worth it at all! i dont mind paying alot if the product is at par with what im paying. unfortunately, its not. choc taste …","spent almost rm200 but the chocolate taste like a cheap chocolate. for the choc drinks that cost us rm22 really not worth it at all! i dont mind paying alot if the product is at par with what im paying. unfortunately, its not. choc taste …","spent almost rm200 but the chocolate taste like a cheap chocolate. for the choc drinks that cost us rm22 really not worth it at all! i dont mind paying alot if the product is at par with what im paying. unfortunately, its not. choc taste …",spent almost rm200 but the chocolate taste like a cheap chocolate for the choc drinks that cost us rm22 really not worth it at all i dont mind paying alot if the product is at par with what im paying unfortunately its not choc taste …,spent almost rm but the chocolate taste like a cheap chocolate for the choc drinks that cost us rm really not worth it at all i dont mind paying alot if the product is at par with what im paying unfortunately its not choc taste …,spent almost rm but the chocolate taste like a cheap chocolate for the hoc drinks that cost us rm really not worth it at all i dont mind paying alot if the product is at par with what im paying unfortunately its not hoc taste …,spent almost rm chocolate taste like cheap chocolate hoc drinks cost us rm really worth dont mind paying alot product par im paying unfortunately hoc taste …,spent almost rm chocolate taste like cheap chocolate hoc drink cost u rm really worth dont mind pay alot product par im pay unfortunately hoc taste …,"['spent', 'almost', 'rm', 'chocolate', 'taste', 'like', 'cheap', 'chocolate', 'hoc', 'drink', 'cost', 'u', 'rm', 'really', 'worth', 'dont', 'mind', 'pay', 'alot', 'product', 'par', 'im', 'pay', 'unfortunately', 'hoc', 'taste', '…']","['spent', 'almost', 'rm', 'chocolate', 'taste', 'like', 'cheap', 'chocolate', 'hoc', 'drink', 'cost', 'u', 'rm', 'really', 'worth', 'dont', 'mind', 'pay', 'alot', 'product', 'par', 'im', 'pay', 'unfortunately', 'hoc', 'taste', '…']"
Siti Atikah Maturidi,Local Guide · 41 reviews · 89 photos,3 months ago,I went on weekdays and no lines……yeay tak payah beratur. All about chocolate and for me the price a bit pricey for some item and some of them reasonable as they used the expensive product. …,i went on weekdays and no lines……yeay tak payah beratur. all about chocolate and for me the price a bit pricey for some item and some of them reasonable as they used the expensive product. …,i went on weekdays and no lines……yeay tak payah beratur. all about chocolate and for me the price a bit pricey for some item and some of them reasonable as they used the expensive product. …,i went on weekdays and no lines……yeay tak payah beratur. all about chocolate and for me the price a bit pricey for some item and some of them reasonable as they used the expensive product. …,i went on weekdays and no lines……yeay tak payah beratur. all about chocolate and for me the price a bit pricey for some item and some of them reasonable as they used the expensive product. …,i went on weekdays and no lines……yeay tak payah beratur. all about chocolate and for me the price a bit pricey for some item and some of them reasonable as they used the expensive product. …,i went on weekdays and no lines……yeay tak payah beratur. all about chocolate and for me the price a bit pricey for some item and some of them reasonable as they used the expensive product. …,i went on weekdays and no lines……yeay tak payah beratur all about chocolate and for me the price a bit pricey for some item and some of them reasonable as they used the expensive product …,i went on weekdays and no lines……yeay tak payah beratur all about chocolate and for me the price a bit pricey for some item and some of them reasonable as they used the expensive product …,i went on weekdays and no lines……year tak pay beratur all about chocolate and for me the price a bit price for some item and some of them reasonable as they used the expensive product …,went weekdays lines……year tak pay beratur chocolate price bit price item reasonable used expensive product …,go weekday lines……year tak pay beratur chocolate price bit price item reasonable use expensive product …,"['go', 'weekday', 'lines……year', 'tak', 'pay', 'beratur', 'chocolate', 'price', 'bit', 'price', 'item', 'reasonable', 'use', 'expensive', 'product', '…']","['go', 'weekday', 'lines……year', 'tak', 'pay', 'beratur', 'chocolate', 'price', 'bit', 'price', 'item', 'reasonable', 'use', 'expensive', 'product', '…']"
Maz Zalan,"Local Guide · 243 reviews · 1,157 photos",4 months ago,"Went here recently and had an okay experience. The queue took around 20-30++ minutes, but it depends on how fast the people inside make their selections. They don’t let the next group in until everyone in the current batch is done, so be …","went here recently and had an okay experience. the queue took around 20-30++ minutes, but it depends on how fast the people inside make their selections. they don’t let the next group in until everyone in the current batch is done, so be …","went here recently and had an okay experience. the queue took around 20-30++ minutes, but it depends on how fast the people inside make their selections. they don’t let the next group in until everyone in the current batch is done, so be …","went here recently and had an okay experience. the queue took around 20-30++ minutes, but it depends on how fast the people inside make their selections. they don’t let the next group in until everyone in the current batch is done, so be …","went here recently and had an okay experience. the queue took around 20-30++ minutes, but it depends on how fast the people inside make their selections. they don’t let the next group in until everyone in the current batch is done, so be …","went here recently and had an okay experience. the queue took around 20-30++ minutes, but it depends on how fast the people inside make their selections. they don’t let the next group in until everyone in the current batch is done, so be …","went here recently and had an okay experience. the queue took around 20-30++ minutes, but it depends on how fast the people inside make their selections. they don’t let the next group in until everyone in the current batch is done, so be …",went here recently and had an okay experience the queue took around 2030 minutes but it depends on how fast the people inside make their selections they don’t let the next group in until everyone in the current batch is done so be …,went here recently and had an okay experience the queue took around  minutes but it depends on how fast the people inside make their selections they don’t let the next group in until everyone in the current batch is done so be …,went here recently and had an okay experience the queue took around  minutes but it depends on how fast the people inside make their selections they don’t let the next group in until everyone in the current batch is done so be …,went recently okay experience queue took around minutes depends fast people inside make selections don’t let next group everyone current batch done …,go recently okay experience queue take around minute depend fast people inside make selection don ’ t let next group everyone current batch do …,"['go', 'recently', 'okay', 'experience', 'queue', 'take', 'around', 'minute', 'depend', 'fast', 'people', 'inside', 'make', 'selection', 'don', '’', 't', 'let', 'next', 'group', 'everyone', 'current', 'batch', 'do', '…']","['go', 'recently', 'okay', 'experience', 'queue', 'take', 'around', 'minute', 'depend', 'fast', 'people', 'inside', 'make', 'selection', 'don', '’', 't', 'let', 'next', 'group', 'everyone', 'current', 'batch', 'do', '…']"
